Order No,User Id,Vehicle Type,Platform Type,Personal or Business,Placement - Day of Month,Placement - Weekday (Mo = 1),Placement - Time,Confirmation - Day of Month,Confirmation - Weekday (Mo = 1),Confirmation - Time,Arrival at Pickup - Day of Month,Arrival at Pickup - Weekday (Mo = 1),Arrival at Pickup - Time,Pickup - Day of Month,Pickup - Weekday (Mo = 1),Pickup - Time,Distance (KM),Temperature,Precipitation in millimeters,Pickup Lat,Pickup Long,Destination Lat,Destination Long,Rider Id
Order_No_4814,User_Id_1500,Bike,3,Business,6,6,9:22:04 AM,6,6,9:23:03 AM,6,6,9:28:17 AM,6,6,10:01:44 AM,8,19.6,,-1.3004062,36.829741,-1.2638185,36.7930057,Rider_Id_576
Order_No_16747,User_Id_1927,Bike,3,Business,15,4,3:53:01 PM,15,4,3:54:41 PM,15,4,4:00:13 PM,15,4,4:03:53 PM,20,27.4,,-1.3472066,36.7692638,-1.2413316,36.8785525,Rider_Id_779
Order_No_6376,User_Id_3217,Bike,1,Business,21,2,2:04:28 PM,21,2,2:04:36 PM,21,2,2:12:18 PM,21,2,2:30:47 PM,10,20.7,,-1.2527958,36.8003131,-1.2143387,36.7914548,Rider_Id_400
Order_No_1199,User_Id_3674,Bike,3,Business,18,2,10:34:56 AM,18,2,10:49:04 AM,18,2,10:51:30 AM,18,2,10:56:03 AM,7,,,-1.2551895,36.7822034,-1.2885417,36.8100523,Rider_Id_685
Order_No_17119,User_Id_718,Bike,3,Business,4,4,3:54:08 PM,4,4,3:57:45 PM,4,4,3:58:28 PM,4,4,4:00:47 PM,9,27.2,,-1.2551895,36.7822034,-1.2861471,36.7903723,Rider_Id_250
Order_No_14832,User_Id_3721,Bike,1,Personal,14,1,2:47:50 PM,14,1,2:57:32 PM,14,1,2:58:00 PM,14,1,3:06:39 PM,6,25.7,,-1.3043821,36.7840586,-1.285264,36.8224132,Rider_Id_544
Order_No_12321,User_Id_3557,Bike,3,Business,8,5,8:47:43 AM,8,5,8:48:06 AM,8,5,8:56:33 AM,8,5,9:07:12 AM,3,20.4,,-1.2551895,36.7822034,-1.2546732,36.8086796,Rider_Id_931
Order_No_24820,User_Id_2939,Bike,2,Personal,29,2,8:35:55 AM,29,2,8:38:41 AM,29,2,9:23:07 AM,29,2,9:25:37 AM,9,16.8,,-1.2660357,36.7898223,-1.307774,36.8407541,Rider_Id_726
Order_No_6065,User_Id_635,Bike,3,Business,14,1,10:10:26 AM,14,1,10:11:28 AM,14,1,10:25:10 AM,14,1,10:27:35 AM,7,20.3,,-1.2602337,36.7990548,-1.3017379,36.7706812,Rider_Id_65
Order_No_13176,User_Id_1724,Bike,3,Business,20,1,10:44:10 AM,20,1,10:44:32 AM,20,1,10:48:56 AM,20,1,10:50:00 AM,2,,,-1.2575437,36.7902273,-1.2551895,36.7822034,Rider_Id_161
Order_No_23557,User_Id_851,Bike,1,Personal,9,1,1:55:29 PM,9,1,1:56:48 PM,9,1,2:01:19 PM,9,1,2:02:24 PM,3,21,,-1.2848174,36.826163,-1.2995738,36.8199719,Rider_Id_21
Order_No_20488,User_Id_393,Bike,3,Business,29,1,9:36:32 AM,29,1,9:36:54 AM,29,1,9:41:12 AM,29,1,10:01:25 AM,14,,,-1.3167113,36.8301563,-1.2991441,36.7528804,Rider_Id_211
Order_No_24214,User_Id_3701,Bike,3,Business,25,1,1:51:52 PM,25,1,1:52:38 PM,25,1,1:59:14 PM,25,1,2:06:33 PM,7,27.8,,-1.2612574,36.7879622,-1.300722,36.816865,Rider_Id_228
Order_No_21206,User_Id_2995,Bike,3,Business,22,3,8:53:08 AM,22,3,8:53:08 AM,22,3,8:53:25 AM,22,3,10:32:42 AM,16,23,,-1.207546,36.7913976,-1.2551895,36.7822034,Rider_Id_193
Order_No_1930,User_Id_393,Bike,3,Business,14,4,9:53:04 AM,14,4,9:53:16 AM,14,4,9:53:21 AM,14,4,10:13:35 AM,4,17.9,,-1.3167113,36.8301563,-1.3004062,36.829741,Rider_Id_842
Order_No_28180,User_Id_2608,Bike,1,Personal,11,2,2:34:07 PM,11,2,2:46:21 PM,11,2,3:09:56 PM,11,2,3:15:53 PM,14,25.5,,-1.3463429,36.9069888,-1.2890333,36.8234839,Rider_Id_89
Order_No_13329,User_Id_1075,Bike,3,Business,13,1,9:59:28 AM,13,1,9:59:43 AM,13,1,10:08:26 AM,13,1,10:12:42 AM,2,,,-1.2620912,36.8013562,-1.2527958,36.8003131,Rider_Id_770
Order_No_19004,User_Id_1363,Bike,3,Business,19,2,1:46:56 PM,19,2,1:57:08 PM,19,2,2:04:28 PM,19,2,2:12:21 PM,4,18.3,,-1.3004062,36.829741,-1.29759,36.815769,Rider_Id_427
Order_No_27510,User_Id_510,Bike,3,Business,21,5,1:17:26 PM,21,5,1:25:20 PM,21,5,2:14:45 PM,21,5,2:34:27 PM,12,24.6,,-1.281866,36.826168,-1.2860183,36.8975338,Rider_Id_150
Order_No_25394,User_Id_3487,Bike,3,Business,18,4,3:07:28 PM,18,4,3:07:57 PM,18,4,3:08:11 PM,18,4,3:32:01 PM,13,,,-1.2232123,36.8932547,-1.279395,36.825364,Rider_Id_291
Order_No_11299,User_Id_323,Bike,3,Business,25,1,11:09:31 AM,25,1,11:09:55 AM,25,1,11:19:44 AM,25,1,11:23:41 AM,21,,,-1.2615888,36.7928732,-1.3632162,36.9108253,Rider_Id_24
Order_No_21269,User_Id_2869,Bike,3,Business,5,2,8:36:14 AM,5,2,8:46:05 AM,5,2,9:02:44 AM,5,2,9:10:43 AM,9,20.8,2.1,-1.290894,36.822971,-1.3025826,36.7670807,Rider_Id_953
Order_No_3565,User_Id_1598,Bike,3,Business,3,1,12:53:21 PM,3,1,12:53:31 PM,3,1,1:03:20 PM,3,1,1:13:55 PM,26,20.5,,-1.3581253,36.7444904,-1.3610124,36.9165101,Rider_Id_329
Order_No_6473,User_Id_635,Bike,3,Business,2,5,11:20:40 AM,2,5,11:21:15 AM,2,5,11:26:45 AM,2,5,11:30:45 AM,6,23.6,,-1.2599563,36.7993439,-1.283256,36.8019937,Rider_Id_849
Order_No_6258,User_Id_517,Bike,3,Business,29,4,10:19:48 AM,29,4,10:20:08 AM,29,4,10:20:15 AM,29,4,10:45:15 AM,5,21.5,,-1.3177547,36.8303703,-1.3077869,36.8443207,Rider_Id_239
Order_No_27480,User_Id_731,Bike,3,Business,30,2,12:35:35 PM,30,2,1:12:57 PM,30,2,1:13:47 PM,30,2,1:25:09 PM,13,22.1,,-1.2574088,36.799712,-1.2599845,36.879605,Rider_Id_215
Order_No_23302,User_Id_3044,Bike,3,Business,15,1,12:07:52 PM,15,1,12:08:01 PM,15,1,12:37:42 PM,15,1,1:16:16 PM,15,,,-1.2991441,36.7528804,-1.3228003,36.8306435,Rider_Id_831
Order_No_16731,User_Id_1207,Bike,3,Business,5,1,12:19:33 PM,5,1,12:19:54 PM,5,1,12:20:41 PM,5,1,12:26:39 PM,12,24.5,,-1.2351541,36.8748505,-1.2629666,36.8068369,Rider_Id_101
Order_No_21353,User_Id_248,Bike,3,Business,7,5,10:31:20 AM,7,5,10:32:04 AM,7,5,11:23:37 AM,7,5,11:32:25 AM,8,,,-1.304735,36.7846054,-1.2596666,36.7627206,Rider_Id_55
Order_No_10610,User_Id_2200,Bike,3,Business,1,4,12:16:48 PM,1,4,12:19:37 PM,1,4,12:37:00 PM,1,4,12:45:11 PM,4,,,-1.290894,36.822971,-1.2985749,36.8088,Rider_Id_580
Order_No_5930,User_Id_245,Bike,2,Personal,8,1,2:41:15 PM,8,1,2:49:36 PM,8,1,3:10:36 PM,8,1,3:15:33 PM,7,24.7,,-1.2621576,36.8103473,-1.3207146,36.8305771,Rider_Id_178
Order_No_5171,User_Id_393,Bike,3,Business,1,1,10:08:40 AM,1,1,10:08:46 AM,1,1,10:15:01 AM,1,1,10:24:05 AM,14,18.4,,-1.3177547,36.8303703,-1.306378,36.7519845,Rider_Id_731
Order_No_21590,User_Id_2627,Bike,3,Business,9,4,2:11:20 PM,9,4,2:15:46 PM,9,4,2:23:52 PM,9,4,2:27:38 PM,8,,,-1.2571472,36.7950633,-1.3080696,36.8237191,Rider_Id_328
Order_No_643,User_Id_584,Bike,1,Personal,3,2,11:28:31 AM,3,2,11:29:33 AM,3,2,11:35:12 AM,3,2,11:42:59 AM,6,18.4,,-1.2948626,36.7701587,-1.265324,36.782244,Rider_Id_312
Order_No_6308,User_Id_3557,Bike,3,Business,8,5,12:28:35 PM,8,5,12:29:14 PM,8,5,12:42:21 PM,8,5,12:44:48 PM,5,24.4,,-1.255956,36.772901,-1.2546732,36.8086796,Rider_Id_540
Order_No_16885,User_Id_3669,Bike,3,Business,18,2,9:45:07 AM,18,2,9:46:39 AM,18,2,9:49:18 AM,18,2,9:56:59 AM,15,19.8,,-1.2615888,36.7928732,-1.2396938,36.8938893,Rider_Id_829
Order_No_5421,User_Id_811,Bike,2,Personal,9,2,11:56:20 AM,9,2,11:58:21 AM,9,2,12:22:25 PM,9,2,12:25:58 PM,9,22.2,,-1.285355,36.795287,-1.3219579,36.8414053,Rider_Id_532
Order_No_21864,User_Id_733,Bike,3,Business,29,4,2:50:26 PM,29,4,2:51:09 PM,29,4,3:00:55 PM,29,4,3:07:38 PM,18,24.9,,-1.2551895,36.7822034,-1.3389279,36.7092201,Rider_Id_685
Order_No_11618,User_Id_468,Bike,1,Personal,24,1,1:39:12 PM,24,1,1:40:00 PM,24,1,1:55:26 PM,24,1,2:00:46 PM,7,,,-1.3033961,36.8014259,-1.3104734,36.7363698,Rider_Id_85
Order_No_27514,User_Id_2823,Bike,3,Business,26,2,12:09:28 PM,26,2,12:09:39 PM,26,2,12:27:22 PM,26,2,12:43:00 PM,19,,,-1.2297202,36.8745508,-1.3014461,36.7661381,Rider_Id_770
Order_No_26356,User_Id_265,Bike,3,Business,15,5,12:08:27 PM,15,5,12:09:02 PM,15,5,12:20:39 PM,15,5,12:23:50 PM,10,25.9,,-1.3000978,36.7658352,-1.300921,36.828195,Rider_Id_649
Order_No_20174,User_Id_3149,Bike,3,Business,15,3,8:30:03 AM,15,3,8:30:27 AM,15,3,8:39:01 AM,15,3,8:46:05 AM,6,,,-1.3004062,36.829741,-1.3167113,36.8301563,Rider_Id_106
Order_No_23193,User_Id_186,Bike,3,Business,29,3,4:08:56 PM,29,3,4:12:39 PM,29,3,4:48:56 PM,29,3,4:58:12 PM,20,20.9,,-1.2571472,36.7950633,-1.3700383,36.9190174,Rider_Id_930
Order_No_17568,User_Id_2330,Bike,3,Business,1,3,12:41:00 PM,1,3,12:46:20 PM,1,3,12:56:59 PM,1,3,1:48:32 PM,7,,,-1.2291477,36.8440295,-1.2284323,36.8757058,Rider_Id_484
Order_No_25549,User_Id_2071,Bike,3,Personal,1,1,2:09:13 PM,1,1,2:11:15 PM,1,1,2:26:30 PM,1,1,2:28:59 PM,7,25.5,,-1.2684319,36.8165853,-1.287428,36.7800821,Rider_Id_847
Order_No_23942,User_Id_1874,Bike,3,Business,17,3,12:03:22 PM,17,3,1:18:38 PM,17,3,1:33:59 PM,17,3,1:39:15 PM,4,28.4,,-1.2571472,36.7950633,-1.2881035,36.8142095,Rider_Id_844
Order_No_25817,User_Id_1329,Bike,3,Business,12,3,2:33:09 PM,12,3,2:37:22 PM,12,3,2:44:15 PM,12,3,2:46:02 PM,9,21.2,,-1.273056,36.811298,-1.3225052,36.8460087,Rider_Id_576
Order_No_16582,User_Id_1271,Bike,3,Business,28,4,10:15:51 AM,28,4,10:37:53 AM,28,4,10:38:06 AM,28,4,10:41:57 AM,23,,,-1.3244885,36.897792,-1.2868021,36.7609771,Rider_Id_618
Order_No_25259,User_Id_3608,Bike,2,Personal,31,4,12:20:47 PM,31,4,12:20:56 PM,31,4,12:34:47 PM,31,4,12:50:00 PM,18,21.8,,-1.3014461,36.7661381,-1.3785791,36.7642395,Rider_Id_103
Order_No_7311,User_Id_3718,Bike,3,Business,23,2,11:08:18 AM,23,2,11:10:11 AM,23,2,11:46:07 AM,23,2,12:15:11 PM,5,17.9,,-1.2877501,36.8146599,-1.2650027,36.8126242,Rider_Id_565
Order_No_6198,User_Id_3772,Bike,1,Personal,1,1,3:43:32 PM,1,1,3:44:09 PM,1,1,3:49:18 PM,1,1,3:53:15 PM,9,25.5,,-1.3054537,36.8284768,-1.2684239,36.7952462,Rider_Id_409
Order_No_18810,User_Id_391,Bike,3,Business,26,2,2:49:13 PM,26,2,2:54:58 PM,26,2,3:11:21 PM,26,2,3:40:13 PM,5,29.7,,-1.300921,36.828195,-1.2755752,36.8535746,Rider_Id_448
Order_No_26162,User_Id_2956,Bike,3,Business,9,4,3:06:35 PM,9,4,3:10:01 PM,9,4,3:16:05 PM,9,4,3:19:54 PM,4,,,-1.2584143,36.8048002,-1.2551895,36.7822034,Rider_Id_177
Order_No_4192,User_Id_3381,Bike,3,Business,24,6,10:56:48 AM,24,6,10:57:31 AM,24,6,11:00:45 AM,24,6,11:10:19 AM,7,24.2,,-1.279662,36.814902,-1.2938875,36.7774083,Rider_Id_79
Order_No_28224,User_Id_2300,Bike,1,Personal,19,4,9:19:31 AM,19,4,9:21:27 AM,19,4,9:48:13 AM,19,4,9:53:00 AM,5,14.4,,-1.3207146,36.8305771,-1.3215385,36.8524246,Rider_Id_951
Order_No_15612,User_Id_393,Bike,3,Business,7,4,8:07:33 AM,7,4,8:08:36 AM,7,4,8:14:42 AM,7,4,8:26:35 AM,4,,,-1.3167113,36.8301563,-1.3004062,36.829741,Rider_Id_674
Order_No_21556,User_Id_928,Bike,3,Business,25,1,12:48:01 PM,25,1,12:48:41 PM,25,1,12:52:13 PM,25,1,12:59:49 PM,15,25.5,,-1.2551895,36.7822034,-1.3319467,36.7766998,Rider_Id_523
Order_No_15698,User_Id_393,Bike,3,Business,25,4,10:56:07 AM,25,4,10:56:13 AM,25,4,10:56:30 AM,25,4,11:36:48 AM,14,19.9,,-1.3177547,36.8303703,-1.306378,36.7519845,Rider_Id_731
Order_No_2619,User_Id_3781,Bike,3,Business,12,4,2:47:43 PM,12,4,2:47:52 PM,12,4,2:59:44 PM,12,4,3:02:13 PM,14,21.8,,-1.2610959,36.8281022,-1.1855066,36.8254646,Rider_Id_806
Order_No_10710,User_Id_3647,Bike,3,Business,19,5,11:39:32 AM,19,5,11:39:57 AM,19,5,11:53:50 AM,19,5,11:58:48 AM,9,24.7,,-1.272639,36.794723,-1.2513529,36.752172,Rider_Id_102
Order_No_17906,User_Id_930,Bike,1,Personal,20,3,3:11:06 PM,20,3,3:13:51 PM,20,3,3:25:37 PM,20,3,3:44:16 PM,5,23.1,,-1.2864298,36.8224345,-1.2840461,36.7934021,Rider_Id_268
Order_No_24831,User_Id_2008,Bike,3,Business,4,6,9:23:23 AM,4,6,10:10:10 AM,4,6,10:32:33 AM,4,6,10:36:57 AM,6,,,-1.2508229,36.7895263,-1.285244,36.832159,Rider_Id_68
Order_No_15312,User_Id_2895,Bike,3,Business,13,5,11:52:44 AM,13,5,11:52:55 AM,13,5,12:02:22 PM,13,5,12:08:18 PM,25,,,-1.3700383,36.9190174,-1.2562366,36.8038565,Rider_Id_648
Order_No_17599,User_Id_1990,Bike,3,Business,5,5,11:15:23 AM,5,5,11:29:10 AM,5,5,11:57:27 AM,5,5,12:14:08 PM,7,24.7,,-1.259082,36.800894,-1.275442,36.7660207,Rider_Id_819
Order_No_8759,User_Id_1075,Bike,3,Business,12,3,1:26:22 PM,12,3,1:28:17 PM,12,3,1:31:22 PM,12,3,1:38:31 PM,1,20.8,,-1.2649605,36.7981777,-1.2527958,36.8003131,Rider_Id_131
Order_No_18102,User_Id_1148,Bike,3,Business,8,4,11:02:47 AM,8,4,11:02:53 AM,8,4,11:13:46 AM,8,4,11:18:23 AM,12,26.4,,-1.3100586,36.8500329,-1.255956,36.772901,Rider_Id_522
Order_No_19596,User_Id_1075,Bike,3,Business,2,6,2:33:12 PM,2,6,3:13:58 PM,2,6,3:26:32 PM,2,6,3:46:42 PM,15,31,,-1.2156006,36.8916865,-1.2527958,36.8003131,Rider_Id_564
Order_No_18174,User_Id_36,Bike,1,Personal,5,4,10:01:01 AM,5,4,10:05:23 AM,5,4,10:20:44 AM,5,4,10:24:53 AM,5,,,-1.2579304,36.8019667,-1.2854453,36.8188363,Rider_Id_208
Order_No_18641,User_Id_2982,Bike,3,Business,19,4,2:04:56 PM,19,4,2:05:21 PM,19,4,3:13:04 PM,19,4,3:35:15 PM,18,20.7,,-1.300921,36.828195,-1.177202,36.8351183,Rider_Id_297
Order_No_7568,User_Id_2587,Bike,3,Business,3,5,1:19:22 PM,3,5,1:20:04 PM,3,5,1:30:07 PM,3,5,1:51:24 PM,2,,,-1.290894,36.822971,-1.28878,36.8168312,Rider_Id_20
Order_No_23561,User_Id_1705,Bike,3,Business,24,5,9:19:46 AM,24,5,9:20:51 AM,24,5,9:42:57 AM,24,5,9:47:57 AM,8,15.6,,-1.2551895,36.7822034,-1.2860203,36.7832538,Rider_Id_857
Order_No_21212,User_Id_2828,Bike,2,Business,4,3,4:12:16 PM,4,3,4:13:08 PM,4,3,4:23:06 PM,4,3,4:37:55 PM,3,,,-1.2584143,36.8048002,-1.2615888,36.7928732,Rider_Id_840
Order_No_19352,User_Id_1958,Bike,3,Business,7,5,3:12:05 PM,7,5,3:12:33 PM,7,5,3:13:04 PM,7,5,3:29:15 PM,20,,,-1.2571472,36.7950633,-1.3700383,36.9190174,Rider_Id_162
Order_No_13038,User_Id_2894,Bike,3,Business,29,1,4:20:55 PM,29,1,4:21:45 PM,29,1,4:48:51 PM,29,1,4:57:54 PM,14,23.4,,-1.2974913,36.8054296,-1.2927792,36.9053492,Rider_Id_848
Order_No_14688,User_Id_3327,Bike,1,Personal,13,6,10:59:51 AM,13,6,11:00:04 AM,13,6,11:19:25 AM,13,6,11:30:19 AM,11,25.2,,-1.273056,36.811298,-1.2202661,36.7650838,Rider_Id_882
Order_No_5155,User_Id_3283,Bike,3,Business,11,5,4:11:35 PM,11,5,4:12:11 PM,11,5,4:19:17 PM,11,5,4:27:08 PM,6,26.4,,-1.272828,36.816608,-1.2628473,36.781805,Rider_Id_576
Order_No_26963,User_Id_1959,Bike,3,Business,18,4,11:07:17 AM,18,4,11:08:14 AM,18,4,11:23:29 AM,18,4,11:25:38 AM,7,,,-1.277266,36.819467,-1.2551895,36.7822034,Rider_Id_709
Order_No_25662,User_Id_3599,Bike,3,Business,8,3,8:54:17 AM,8,3,9:01:25 AM,8,3,9:46:42 AM,8,3,9:49:51 AM,13,,,-1.3302996,36.8707935,-1.2742541,36.7858463,Rider_Id_675
Order_No_22324,User_Id_3461,Bike,1,Personal,7,2,4:35:21 PM,7,2,4:36:24 PM,7,2,4:39:03 PM,7,2,4:46:59 PM,5,23.1,,-1.272798,36.8124195,-1.2935303,36.7988142,Rider_Id_882
Order_No_4080,User_Id_2457,Bike,1,Business,28,5,12:29:29 PM,28,5,12:29:59 PM,28,5,12:37:38 PM,28,5,12:50:45 PM,6,25.1,,-1.2571472,36.7950633,-1.2927403,36.8031436,Rider_Id_607
Order_No_2551,User_Id_1777,Bike,3,Personal,18,2,2:29:33 PM,18,2,2:30:51 PM,18,2,2:39:51 PM,18,2,2:42:59 PM,8,25.6,,-1.2505691,36.7531862,-1.2567295,36.784224,Rider_Id_342
Order_No_6576,User_Id_1961,Bike,3,Business,23,2,1:18:14 PM,23,2,1:19:10 PM,23,2,1:35:19 PM,23,2,1:41:36 PM,11,,,-1.303596,36.778378,-1.3181159,36.7101559,Rider_Id_226
Order_No_23150,User_Id_1320,Bike,1,Personal,12,4,3:58:05 PM,12,4,3:58:37 PM,12,4,4:36:37 PM,12,4,4:41:52 PM,12,20.6,,-1.2696908,36.81519,-1.1980111,36.834036,Rider_Id_253
Order_No_12488,User_Id_2801,Bike,3,Business,7,2,3:33:16 PM,7,2,3:34:43 PM,7,2,3:43:57 PM,7,2,3:50:49 PM,10,25,,-1.3053672,36.8504669,-1.2593049,36.8029373,Rider_Id_882
Order_No_14209,User_Id_517,Bike,3,Business,28,5,11:36:18 AM,28,5,11:38:00 AM,28,5,11:40:48 AM,28,5,11:46:23 AM,4,23.7,,-1.3167113,36.8301563,-1.3004062,36.829741,Rider_Id_523
Order_No_14944,User_Id_132,Bike,1,Personal,24,4,10:16:09 AM,24,4,10:16:40 AM,24,4,10:41:44 AM,24,4,10:45:32 AM,11,21.2,,-1.307399,36.7341417,-1.2945684,36.8154093,Rider_Id_941
Order_No_105,User_Id_1527,Bike,3,Business,11,4,10:43:37 AM,11,4,10:43:55 AM,11,4,10:46:36 AM,11,4,10:51:05 AM,9,25.4,,-1.2638185,36.7930057,-1.3004062,36.829741,Rider_Id_764
Order_No_6400,User_Id_299,Bike,3,Business,3,1,10:38:31 AM,3,1,10:38:46 AM,3,1,10:43:18 AM,3,1,10:54:09 AM,15,21.5,,-1.2628638,36.8070399,-1.3465623,36.7677838,Rider_Id_868
Order_No_23670,User_Id_868,Bike,3,Business,23,4,3:28:16 PM,23,4,3:28:29 PM,23,4,3:28:47 PM,23,4,3:37:38 PM,4,24.5,,-1.266837,36.799249,-1.265715,36.823815,Rider_Id_607
Order_No_11927,User_Id_627,Bike,3,Business,22,4,3:33:54 PM,22,4,3:42:18 PM,22,4,4:37:07 PM,22,4,4:39:48 PM,13,24,,-1.2551895,36.7822034,-1.3083777,36.8590077,Rider_Id_817
Order_No_672,User_Id_868,Bike,3,Business,21,4,9:33:50 AM,21,4,9:36:37 AM,21,4,10:00:15 AM,21,4,10:03:24 AM,14,21.8,,-1.293515,36.897607,-1.265715,36.823815,Rider_Id_283
Order_No_24305,User_Id_3455,Bike,3,Personal,17,5,11:18:28 AM,17,5,11:18:32 AM,17,5,11:35:45 AM,17,5,11:40:52 AM,7,17.8,,-1.2569458,36.7694224,-1.2692689,36.8055169,Rider_Id_452
Order_No_23438,User_Id_1882,Bike,3,Business,27,6,4:05:07 PM,27,6,4:06:42 PM,27,6,4:21:44 PM,27,6,4:24:15 PM,1,,,-1.2588775,36.8079744,-1.253784,36.79907,Rider_Id_461
Order_No_11297,User_Id_136,Bike,3,Business,13,4,8:58:48 AM,13,4,9:02:54 AM,13,4,10:14:11 AM,13,4,10:44:04 AM,16,21.8,,-1.3254522,36.7216584,-1.2669175,36.8077483,Rider_Id_721
Order_No_25875,User_Id_412,Bike,3,Business,11,1,12:37:57 PM,11,1,12:38:27 PM,11,1,12:40:04 PM,11,1,12:57:05 PM,3,26.5,,-1.272828,36.816608,-1.266837,36.799249,Rider_Id_563
Order_No_2483,User_Id_1059,Bike,1,Personal,30,1,3:11:56 PM,30,1,3:15:21 PM,30,1,3:31:57 PM,30,1,3:43:26 PM,10,20.4,,-1.3303649,36.7260187,-1.2873232,36.7658572,Rider_Id_536
Order_No_22525,User_Id_2982,Bike,3,Business,31,1,11:39:55 AM,31,1,11:40:04 AM,31,1,11:56:47 AM,31,1,12:03:29 PM,18,21.2,,-1.300921,36.828195,-1.177202,36.8351183,Rider_Id_457
Order_No_85,User_Id_1497,Bike,3,Personal,14,2,10:03:23 AM,14,2,10:03:47 AM,14,2,10:08:01 AM,14,2,10:10:01 AM,7,15.5,,-1.299813,36.7871392,-1.2658335,36.8042867,Rider_Id_722
Order_No_25252,User_Id_391,Bike,3,Business,17,3,12:32:19 PM,17,3,12:33:25 PM,17,3,12:38:45 PM,17,3,1:49:21 PM,5,,,-1.300921,36.828195,-1.2839729,36.8115146,Rider_Id_924
Order_No_16007,User_Id_3147,Bike,3,Business,12,3,9:28:41 AM,12,3,9:29:33 AM,12,3,9:37:13 AM,12,3,9:40:38 AM,17,,,-1.2911643,36.8772933,-1.3472066,36.7692638,Rider_Id_624
Order_No_10988,User_Id_3689,Bike,3,Business,10,1,10:40:42 AM,10,1,10:41:33 AM,10,1,10:57:21 AM,10,1,11:03:23 AM,8,18.4,,-1.225322,36.80855,-1.2571472,36.7950633,Rider_Id_547
Order_No_15321,User_Id_496,Bike,3,Business,4,2,3:18:19 PM,4,2,3:24:19 PM,4,2,4:00:14 PM,4,2,4:11:47 PM,13,22.5,,-1.3322618,36.8045412,-1.2551895,36.7822034,Rider_Id_55
Order_No_16080,User_Id_3647,Bike,3,Business,13,3,1:47:30 PM,13,3,1:47:54 PM,13,3,1:58:10 PM,13,3,2:00:02 PM,3,29.2,,-1.272639,36.794723,-1.2672588,36.8000252,Rider_Id_263
Order_No_11090,User_Id_2615,Bike,1,Personal,9,6,12:53:24 PM,9,6,12:54:54 PM,9,6,1:10:56 PM,9,6,1:18:32 PM,5,17,,-1.2767423,36.8200767,-1.2475788,36.8215438,Rider_Id_852
Order_No_21090,User_Id_1500,Bike,3,Business,7,3,9:34:28 AM,7,3,9:40:08 AM,7,3,9:58:46 AM,7,3,10:00:53 AM,8,,,-1.3004062,36.829741,-1.2574219,36.7927073,Rider_Id_532
